episode_id,cohort_id,operator_id,session_id,assignment_block,assignment_order,failure_mode,accepted,duration_minutes,loaded_rate_per_minute,cost_usd,rights_complete,randomization_seed,joint_tracking_rmse_rad,peak_joint_effort_nm,gripper_effort_nm,command_samples,measured_state_samples
targeted_0021,targeted,operator_02,session_02,block_02,18,nominal,1,5.000,2.000,10.00,1,424242,0.027328,4.021081,0.497869,1000,1000
random_0020,random,operator_02,session_02,block_02,19,compliance_edge,1,5.000,2.000,10.00,1,424242,0.036619,4.049883,1.153569,1000,1000
targeted_0022,targeted,operator_02,session_02,block_02,20,lateral_offset,1,5.000,2.000,10.00,1,424242,0.044320,6.068827,0.485211,1000,1000
random_0021,random,operator_02,session_02,block_02,21,nominal,1,5.000,2.000,10.00,1,424242,0.025862,3.524091,0.338206,1000,1000
random_0022,random,operator_02,session_02,block_02,22,lateral_offset,1,5.000,2.000,10.00,1,424242,0.033489,7.239128,0.641208,1000,1000
random_0023,random,operator_03,session_03,block_03,1,high_friction,1,5.000,2.000,10.00,1,424242,0.031181,4.077148,1.078052,1000,1000
targeted_0023,targeted,operator_03,session_03,block_03,2,high_friction,1,5.000,2.000,10.00,1,424242,0.042572,4.405816,0.469346,1000,1000
random_0024,random,operator_03,session_03,block_03,3,compliance_edge,1,5.000,2.000,10.00,1,424242,0.043397,3.345821,0.884450,1000,1000
targeted_0024,targeted,operator_03,session_03,block_03,4,compliance_edge,1,5.000,2.000,10.00,1,424242,0.018186,6.517036,0.467307,1000,1000
targeted_0025,targeted,operator_03,session_03,block_03,5,nominal,1,5.000,2.000,10.00,1,424242,0.048684,3.068865,0.362958,1000,1000
random_0025,random,operator_03,session_03,block_03,6,nominal,1,5.000,2.000,10.00,1,424242,0.044065,6.187853,0.509615,1000,1000
random_0026,random,operator_03,session_03,block_03,7,lateral_offset,1,5.000,2.000,10.00,1,424242,0.022616,2.857642,1.068262,1000,1000
random_0027,random,operator_03,session_03,block_03,8,high_friction,1,5.000,2.000,10.00,1,424242,0.031500,3.992686,0.685422,1000,1000
targeted_0026,targeted,operator_03,session_03,block_03,9,lateral_offset,1,5.000,2.000,10.00,1,424242,0.034104,6.264391,0.539775,1000,1000
targeted_0027,targeted,operator_03,session_03,block_03,10,high_friction,1,5.000,2.000,10.00,1,424242,0.020631,4.739202,0.893569,1000,1000
random_0028,random,operator_03,session_03,block_03,11,compliance_edge,1,5.000,2.000,10.00,1,424242,0.030673,4.577310,1.129943,1000,1000
targeted_0028,targeted,operator_03,session_03,block_03,12,compliance_edge,1,5.000,2.000,10.00,1,424242,0.020216,7.254008,0.496533,1000,1000
random_0029,random,operator_03,session_03,block_03,13,nominal,1,5.000,2.000,10.00,1,424242,0.012907,6.806229,0.954582,1000,1000
targeted_0029,targeted,operator_03,session_03,block_03,14,nominal,1,5.000,2.000,10.00,1,424242,0.038218,4.464419,0.938468,1000,1000
targeted_0030,targeted,operator_03,session_03,block_03,15,lateral_offset,1,5.000,2.000,10.00,1,424242,0.051720,5.493416,0.863741,1000,1000
targeted_0031,targeted,operator_03,session_03,block_03,16,high_friction,1,5.000,2.000,10.00,1,424242,0.031843,4.957087,0.824769,1000,1000
random_0030,random,operator_03,session_03,block_03,17,lateral_offset,1,5.000,2.000,10.00,1,424242,0.031087,5.932109,0.668982,1000,1000
targeted_0032,targeted,operator_03,session_03,block_03,18,compliance_edge,1,5.000,2.000,10.00,1,424242,0.051531,7.391957,0.599564,1000,1000
targeted_0033,targeted,operator_03,session_03,block_03,19,nominal,1,5.000,2.000,10.00,1,424242,0.050109,6.291263,0.722777,1000,1000
random_0031,random,operator_03,session_03,block_03,20,high_friction,1,5.000,2.000,10.00,1,424242,0.021364,2.953927,0.655198,1000,1000
random_0032,random,operator_03,session_03,block_03,21,compliance_edge,1,5.000,2.000,10.00,1,424242,0.042496,3.423121,0.907600,1000,1000
random_0033,random,operator_03,session_03,block_03,22,nominal,1,5.000,2.000,10.00,1,424242,0.031574,7.300393,0.715793,1000,1000
targeted_0034,targeted,operator_04,session_04,block_04,1,lateral_offset,1,5.000,2.000,10.00,1,424242,0.035496,6.660231,0.789020,1000,1000
random_0034,random,operator_04,session_04,block_04,2,lateral_offset,1,5.000,2.000,10.00,1,424242,0.031744,4.583087,0.311437,1000,1000
targeted_0035,targeted,operator_04,session_04,block_04,3,high_friction,1,5.000,2.000,10.00,1,424242,0.031934,3.801082,1.161832,1000,1000
random_0035,random,operator_04,session_04,block_04,4,high_friction,1,5.000,2.000,10.00,1,424242,0.032393,5.307686,0.360760,1000,1000
random_0036,random,operator_04,session_04,block_04,5,compliance_edge,1,5.000,2.000,10.00,1,424242,0.049041,5.820816,1.002659,1000,1000
targeted_0036,targeted,operator_04,session_04,block_04,6,compliance_edge,1,5.000,2.000,10.00,1,424242,0.043016,5.782695,0.361175,1000,1000
random_0037,random,operator_04,session_04,block_04,7,nominal,1,5.000,2.000,10.00,1,424242,0.016091,4.209419,0.941209,1000,1000
targeted_0037,targeted,operator_04,session_04,block_04,8,nominal,1,5.000,2.000,10.00,1,424242,0.014199,4.455011,0.994154,1000,1000
targeted_0038,targeted,operator_04,session_04,block_04,9,lateral_offset,1,5.000,2.000,10.00,1,424242,0.049502,5.574601,0.379998,1000,1000
random_0038,random,operator_04,session_04,block_04,10,lateral_offset,1,5.000,2.000,10.00,1,424242,0.017248,4.498403,0.859018,1000,1000
targeted_0039,targeted,operator_04,session_04,block_04,11,high_friction,1,5.000,2.000,10.00,1,424242,0.048726,4.440435,1.161181,1000,1000
random_0039,random,operator_04,session_04,block_04,12,high_friction,1,5.000,2.000,10.00,1,424242,0.022576,3.339951,0.349658,1000,1000
random_0040,random,operator_04,session_04,block_04,13,compliance_edge,1,5.000,2.000,10.00,1,424242,0.034448,5.678548,0.964180,1000,1000
random_0041,random,operator_04,session_04,block_04,14,nominal,1,5.000,2.000,10.00,1,424242,0.045094,3.143184,0.498142,1000,1000
random_0042,random,operator_04,session_04,block_04,15,lateral_offset,1,5.000,2.000,10.00,1,424242,0.033620,6.817550,1.159627,1000,1000
targeted_0040,targeted,operator_04,session_04,block_04,16,compliance_edge,1,5.000,2.000,10.00,1,424242,0.016966,6.466675,0.720189,1000,1000
random_0043,random,operator_04,session_04,block_04,17,high_friction,1,5.000,2.000,10.00,1,424242,0.016456,6.410115,0.942790,1000,1000
targeted_0041,targeted,operator_04,session_04,block_04,18,nominal,1,5.000,2.000,10.00,1,424242,0.028177,5.435087,0.441640,1000,1000
targeted_0042,targeted,operator_04,session_04,block_04,19,lateral_offset,1,5.000,2.000,10.00,1,424242,0.030639,4.068086,0.908327,1000,1000
random_0044,random,operator_04,session_04,block_04,20,compliance_edge,1,5.000,2.000,10.00,1,424242,0.041967,6.103049,0.959010,1000,1000
targeted_0043,targeted,operator_04,session_04,block_04,21,high_friction,1,5.000,2.000,10.00,1,424242,0.020980,3.044843,0.691944,1000,1000
targeted_0044,targeted,operator_04,session_04,block_04,22,compliance_edge,1,5.000,2.000,10.00,1,424242,0.044344,4.775640,1.009432,1000,1000
random_0045,random,operator_05,session_05,block_05,1,nominal,1,5.000,2.000,10.00,1,424242,0.029598,5.709205,0.468303,1000,1000
targeted_0045,targeted,operator_05,session_05,block_05,2,nominal,1,5.000,2.000,10.00,1,424242,0.030960,4.589093,0.909488,1000,1000
random_0046,random,operator_05,session_05,block_05,3,lateral_offset,1,5.000,2.000,10.00,1,424242,0.016568,3.071407,0.450178,1000,1000
targeted_0046,targeted,operator_05,session_05,block_05,4,lateral_offset,1,5.000,2.000,10.00,1,424242,0.033374,6.421461,1.173627,1000,1000
random_0047,random,operator_05,session_05,block_05,5,high_friction,1,5.000,2.000,10.00,1,424242,0.048493,5.138151,0.734264,1000,1000
random_0048,random,operator_05,session_05,block_05,6,compliance_edge,1,5.000,2.000,10.00,1,424242,0.029615,6.528974,0.803720,1000,1000
targeted_0047,targeted,operator_05,session_05,block_05,7,high_friction,1,5.000,2.000,10.00,1,424242,0.030472,4.125015,1.035118,1000,1000
random_0049,random,operator_05,session_05,block_05,8,nominal,1,5.000,2.000,10.00,1,424242,0.025636,5.227123,0.862920,1000,1000
random_0050,random,operator_05,session_05,block_05,9,lateral_offset,1,5.000,2.000,10.00,1,424242,0.044724,7.303815,0.842948,1000,1000
targeted_0048,targeted,operator_05,session_05,block_05,10,compliance_edge,1,5.000,2.000,10.00,1,424242,0.041277,3.881167,0.691364,1000,1000
targeted_0049,targeted,operator_05,session_05,block_05,11,nominal,1,5.000,2.000,10.00,1,424242,0.026182,6.803990,0.609694,1000,1000
random_0051,random,operator_05,session_05,block_05,12,high_friction,1,5.000,2.000,10.00,1,424242,0.034404,5.164931,0.360360,1000,1000
targeted_0050,targeted,operator_05,session_05,block_05,13,lateral_offset,1,5.000,2.000,10.00,1,424242,0.037632,6.743400,0.529956,1000,1000
random_0052,random,operator_05,session_05,block_05,14,compliance_edge,1,5.000,2.000,10.00,1,424242,0.013602,4.963688,1.139592,1000,1000
random_0053,random,operator_05,session_05,block_05,15,nominal,1,5.000,2.000,10.00,1,424242,0.022632,4.155234,0.923002,1000,1000
random_0054,random,operator_05,session_05,block_05,16,lateral_offset,1,5.000,2.000,10.00,1,424242,0.019761,4.344231,0.621672,1000,1000
targeted_0051,targeted,operator_05,session_05,block_05,17,high_friction,1,5.000,2.000,10.00,1,424242,0.046100,6.646856,0.988475,1000,1000
targeted_0052,targeted,operator_05,session_05,block_05,18,compliance_edge,1,5.000,2.000,10.00,1,424242,0.013813,3.179770,0.796902,1000,1000
targeted_0053,targeted,operator_05,session_05,block_05,19,nominal,1,5.000,2.000,10.00,1,424242,0.046839,6.631404,0.661068,1000,1000
targeted_0054,targeted,operator_05,session_05,block_05,20,lateral_offset,1,5.000,2.000,10.00,1,424242,0.024607,4.938811,0.371712,1000,1000
random_0055,random,operator_05,session_05,block_05,21,high_friction,1,5.000,2.000,10.00,1,424242,0.042971,7.184643,0.984621,1000,1000
targeted_0055,targeted,operator_05,session_05,block_05,22,high_friction,1,5.000,2.000,10.00,1,424242,0.037140,3.455410,0.604012,1000,1000
targeted_0056,targeted,operator_06,session_06,block_06,1,compliance_edge,1,5.000,2.000,10.00,1,424242,0.023573,2.892113,0.760129,1000,1000
targeted_0057,targeted,operator_06,session_06,block_06,2,nominal,1,5.000,2.000,10.00,1,424242,0.047919,3.158915,0.397727,1000,1000
random_0056,random,operator_06,session_06,block_06,3,compliance_edge,1,5.000,2.000,10.00,1,424242,0.047975,6.503662,0.638109,1000,1000
targeted_0058,targeted,operator_06,session_06,block_06,4,lateral_offset,1,5.000,2.000,10.00,1,424242,0.041094,6.142264,0.389809,1000,1000
targeted_0059,targeted,operator_06,session_06,block_06,5,high_friction,1,5.000,2.000,10.00,1,424242,0.013892,5.141851,0.891097,1000,1000
targeted_0060,targeted,operator_06,session_06,block_06,6,compliance_edge,1,5.000,2.000,10.00,1,424242,0.032219,4.951328,1.022874,1000,1000
random_0057,random,operator_06,session_06,block_06,7,nominal,1,5.000,2.000,10.00,1,424242,0.050656,3.828903,0.825652,1000,1000
targeted_0061,targeted,operator_06,session_06,block_06,8,nominal,1,5.000,2.000,10.00,1,424242,0.013676,4.814560,0.719921,1000,1000
targeted_0062,targeted,operator_06,session_06,block_06,9,lateral_offset,1,5.000,2.000,10.00,1,424242,0.027875,6.997506,1.040708,1000,1000
random_0058,random,operator_06,session_06,block_06,10,lateral_offset,1,5.000,2.000,10.00,1,424242,0.019282,4.202069,1.188736,1000,1000
random_0059,random,operator_06,session_06,block_06,11,high_friction,1,5.000,2.000,10.00,1,424242,0.028699,3.264859,1.068300,1000,1000
random_0060,random,operator_06,session_06,block_06,12,compliance_edge,1,5.000,2.000,10.00,1,424242,0.023406,6.318337,1.074013,1000,1000
random_0061,random,operator_06,session_06,block_06,13,nominal,1,5.000,2.000,10.00,1,424242,0.048630,2.830684,1.146381,1000,1000
random_0062,random,operator_06,session_06,block_06,14,lateral_offset,1,5.000,2.000,10.00,1,424242,0.045597,3.561140,0.907852,1000,1000
random_0063,random,operator_06,session_06,block_06,15,high_friction,1,5.000,2.000,10.00,1,424242,0.044923,3.447486,0.512999,1000,1000
targeted_0063,targeted,operator_06,session_06,block_06,16,high_friction,1,5.000,2.000,10.00,1,424242,0.012758,2.846878,1.109245,1000,1000
targeted_0064,targeted,operator_06,session_06,block_06,17,compliance_edge,1,5.000,2.000,10.00,1,424242,0.026204,3.475318,0.532635,1000,1000
random_0064,random,operator_06,session_06,block_06,18,compliance_edge,1,5.000,2.000,10.00,1,424242,0.042326,4.027548,1.003963,1000,1000
targeted_0065,targeted,operator_06,session_06,block_06,19,nominal,1,5.000,2.000,10.00,1,424242,0.048173,6.974990,0.548515,1000,1000
random_0065,random,operator_06,session_06,block_06,20,nominal,1,5.000,2.000,10.00,1,424242,0.014622,6.999185,0.587444,1000,1000
targeted_0066,targeted,operator_06,session_06,block_06,21,lateral_offset,1,5.000,2.000,10.00,1,424242,0.018749,4.667538,0.862276,1000,1000
random_0066,random,operator_06,session_06,block_06,22,lateral_offset,1,5.000,2.000,10.00,1,424242,0.030233,4.389468,0.976326,1000,1000
targeted_0067,targeted,operator_07,session_07,block_07,1,high_friction,1,5.000,2.000,10.00,1,424242,0.033519,5.497887,0.497963,1000,1000
targeted_0068,targeted,operator_07,session_07,block_07,2,compliance_edge,1,5.000,2.000,10.00,1,424242,0.036470,3.654653,0.323099,1000,1000
targeted_0069,targeted,operator_07,session_07,block_07,3,nominal,1,5.000,2.000,10.00,1,424242,0.020358,4.272832,0.905557,1000,1000
random_0067,random,operator_07,session_07,block_07,4,high_friction,1,5.000,2.000,10.00,1,424242,0.049608,4.840470,0.899801,1000,1000
targeted_0070,targeted,operator_07,session_07,block_07,5,lateral_offset,1,5.000,2.000,10.00,1,424242,0.046396,4.471971,0.652017,1000,1000
targeted_0071,targeted,operator_07,session_07,block_07,6,high_friction,1,5.000,2.000,10.00,1,424242,0.021927,5.447944,0.346776,1000,1000
targeted_0072,targeted,operator_07,session_07,block_07,7,compliance_edge,1,5.000,2.000,10.00,1,424242,0.030389,5.143387,0.516657,1000,1000
random_0068,random,operator_07,session_07,block_07,8,compliance_edge,1,5.000,2.000,10.00,1,424242,0.017259,6.656984,0.761514,1000,1000
random_0069,random,operator_07,session_07,block_07,9,nominal,1,5.000,2.000,10.00,1,424242,0.039609,3.201436,1.119172,1000,1000
targeted_0073,targeted,operator_07,session_07,block_07,10,nominal,1,5.000,2.000,10.00,1,424242,0.015469,5.005666,1.082221,1000,1000
targeted_0074,targeted,operator_07,session_07,block_07,11,lateral_offset,1,5.000,2.000,10.00,1,424242,0.014277,6.148322,0.331460,1000,1000
random_0070,random,operator_07,session_07,block_07,12,lateral_offset,1,5.000,2.000,10.00,1,424242,0.025781,5.240022,1.125899,1000,1000
random_0071,random,operator_07,session_07,block_07,13,high_friction,1,5.000,2.000,10.00,1,424242,0.034581,3.418149,1.001907,1000,1000
targeted_0075,targeted,operator_07,session_07,block_07,14,high_friction,1,5.000,2.000,10.00,1,424242,0.033368,6.221654,1.021361,1000,1000
random_0072,random,operator_07,session_07,block_07,15,compliance_edge,1,5.000,2.000,10.00,1,424242,0.025371,5.601813,0.844132,1000,1000
random_0073,random,operator_07,session_07,block_07,16,nominal,1,5.000,2.000,10.00,1,424242,0.031380,3.696823,1.127215,1000,1000
random_0074,random,operator_07,session_07,block_07,17,lateral_offset,1,5.000,2.000,10.00,1,424242,0.023249,3.733877,0.770044,1000,1000
targeted_0076,targeted,operator_07,session_07,block_07,18,compliance_edge,1,5.000,2.000,10.00,1,424242,0.019805,7.029102,0.796452,1000,1000
targeted_0077,targeted,operator_07,session_07,block_07,19,nominal,1,5.000,2.000,10.00,1,424242,0.039406,7.385993,0.354781,1000,1000
random_0075,random,operator_07,session_07,block_07,20,high_friction,1,5.000,2.000,10.00,1,424242,0.049128,6.319049,1.034557,1000,1000
random_0076,random,operator_07,session_07,block_07,21,compliance_edge,1,5.000,2.000,10.00,1,424242,0.043924,4.786380,0.620857,1000,1000
random_0077,random,operator_07,session_07,block_07,22,nominal,1,5.000,2.000,10.00,1,424242,0.042122,6.981207,0.947739,1000,1000
random_0078,random,operator_08,session_08,block_08,1,lateral_offset,1,5.000,2.000,10.00,1,424242,0.045575,6.670565,0.336367,1000,1000
targeted_0078,targeted,operator_08,session_08,block_08,2,lateral_offset,1,5.000,2.000,10.00,1,424242,0.050024,4.883528,0.362152,1000,1000
random_0079,random,operator_08,session_08,block_08,3,high_friction,1,5.000,2.000,10.00,1,424242,0.044493,4.313948,0.360888,1000,1000
targeted_0079,targeted,operator_08,session_08,block_08,4,high_friction,1,5.000,2.000,10.00,1,424242,0.028005,6.738259,1.119024,1000,1000
random_0080,random,operator_08,session_08,block_08,5,compliance_edge,1,5.000,2.000,10.00,1,424242,0.046224,7.258433,0.872585,1000,1000
targeted_0080,targeted,operator_08,session_08,block_08,6,compliance_edge,1,5.000,2.000,10.00,1,424242,0.032224,2.930039,0.886225,1000,1000
random_0081,random,operator_08,session_08,block_08,7,nominal,1,5.000,2.000,10.00,1,424242,0.018141,5.710138,0.960936,1000,1000
random_0082,random,operator_08,session_08,block_08,8,lateral_offset,1,5.000,2.000,10.00,1,424242,0.013081,4.875535,0.848670,1000,1000
random_0083,random,operator_08,session_08,block_08,9,high_friction,1,5.000,2.000,10.00,1,424242,0.026788,3.721111,0.864956,1000,1000
targeted_0081,targeted,operator_08,session_08,block_08,10,nominal,1,5.000,2.000,10.00,1,424242,0.043281,3.684641,0.343305,1000,1000
targeted_0082,targeted,operator_08,session_08,block_08,11,lateral_offset,1,5.000,2.000,10.00,1,424242,0.051517,6.716667,0.717829,1000,1000
random_0084,random,operator_08,session_08,block_08,12,compliance_edge,1,5.000,2.000,10.00,1,424242,0.014058,5.904111,0.967437,1000,1000
targeted_0083,targeted,operator_08,session_08,block_08,13,high_friction,1,5.000,2.000,10.00,1,424242,0.043679,3.793660,0.606874,1000,1000
random_0085,random,operator_08,session_08,block_08,14,nominal,1,5.000,2.000,10.00,1,424242,0.050239,6.888976,0.613219,1000,1000
random_0086,random,operator_08,session_08,block_08,15,lateral_offset,1,5.000,2.000,10.00,1,424242,0.049221,6.766193,0.515301,1000,1000
targeted_0084,targeted,operator_08,session_08,block_08,16,compliance_edge,1,5.000,2.000,10.00,1,424242,0.048313,4.997162,1.159841,1000,1000
targeted_0085,targeted,operator_08,session_08,block_08,17,nominal,1,5.000,2.000,10.00,1,424242,0.050258,5.462199,0.652451,1000,1000
targeted_0086,targeted,operator_08,session_08,block_08,18,lateral_offset,1,5.000,2.000,10.00,1,424242,0.029813,5.929912,1.125362,1000,1000
targeted_0087,targeted,operator_08,session_08,block_08,19,high_friction,1,5.000,2.000,10.00,1,424242,0.014955,6.294140,0.335190,1000,1000
random_0087,random,operator_08,session_08,block_08,20,high_friction,1,5.000,2.000,10.00,1,424242,0.048247,6.904835,0.394642,1000,1000
targeted_0088,targeted,operator_08,session_08,block_08,21,compliance_edge,1,5.000,2.000,10.00,1,424242,0.014852,5.044314,0.665430,1000,1000
random_0088,random,operator_08,session_08,block_08,22,compliance_edge,1,5.000,2.000,10.00,1,424242,0.050543,2.943172,0.417505,1000,1000
targeted_0089,targeted,operator_01,session_09,block_09,1,nominal,1,5.000,2.000,10.00,1,424242,0.047441,6.756731,0.618551,1000,1000
random_0089,random,operator_01,session_09,block_09,2,nominal,1,5.000,2.000,10.00,1,424242,0.029964,4.060576,0.988545,1000,1000
targeted_0090,targeted,operator_01,session_09,block_09,3,lateral_offset,1,5.000,2.000,10.00,1,424242,0.029326,4.746778,0.348527,1000,1000
targeted_0091,targeted,operator_01,session_09,block_09,4,high_friction,1,5.000,2.000,10.00,1,424242,0.030188,3.695015,0.323554,1000,1000
random_0090,random,operator_01,session_09,block_09,5,lateral_offset,1,5.000,2.000,10.00,1,424242,0.050057,3.349879,0.599178,1000,1000
targeted_0092,targeted,operator_01,session_09,block_09,6,compliance_edge,1,5.000,2.000,10.00,1,424242,0.040068,5.968557,0.342829,1000,1000
random_0091,random,operator_01,session_09,block_09,7,high_friction,1,5.000,2.000,10.00,1,424242,0.050203,5.083116,1.088678,1000,1000
targeted_0093,targeted,operator_01,session_09,block_09,8,nominal,1,5.000,2.000,10.00,1,424242,0.015856,5.386175,0.989243,1000,1000
random_0092,random,operator_01,session_09,block_09,9,compliance_edge,1,5.000,2.000,10.00,1,424242,0.039593,7.316702,0.425690,1000,1000
targeted_0094,targeted,operator_01,session_09,block_09,10,lateral_offset,1,5.000,2.000,10.00,1,424242,0.039542,6.544526,0.351730,1000,1000
random_0093,random,operator_01,session_09,block_09,11,nominal,1,5.000,2.000,10.00,1,424242,0.024790,6.610225,0.770989,1000,1000
random_0094,random,operator_01,session_09,block_09,12,lateral_offset,1,5.000,2.000,10.00,1,424242,0.020506,4.308755,0.620108,1000,1000
random_0095,random,operator_01,session_09,block_09,13,high_friction,1,5.000,2.000,10.00,1,424242,0.030053,3.248385,0.733338,1000,1000
random_0096,random,operator_01,session_09,block_09,14,compliance_edge,1,5.000,2.000,10.00,1,424242,0.048675,6.945163,1.199108,1000,1000
targeted_0095,targeted,operator_01,session_09,block_09,15,high_friction,1,5.000,2.000,10.00,1,424242,0.030985,3.460977,0.754212,1000,1000
targeted_0096,targeted,operator_01,session_09,block_09,16,compliance_edge,1,5.000,2.000,10.00,1,424242,0.025852,5.638046,1.189135,1000,1000
random_0097,random,operator_01,session_09,block_09,17,nominal,1,5.000,2.000,10.00,1,424242,0.023695,5.167080,1.117183,1000,1000
targeted_0097,targeted,operator_01,session_09,block_09,18,nominal,1,5.000,2.000,10.00,1,424242,0.042543,5.652554,1.064447,1000,1000
targeted_0098,targeted,operator_01,session_09,block_09,19,lateral_offset,1,5.000,2.000,10.00,1,424242,0.012364,6.140663,0.952333,1000,1000
random_0098,random,operator_01,session_09,block_09,20,lateral_offset,1,5.000,2.000,10.00,1,424242,0.036843,4.899806,0.884038,1000,1000
targeted_0099,targeted,operator_01,session_09,block_09,21,high_friction,1,5.000,2.000,10.00,1,424242,0.026470,6.958587,1.170969,1000,1000
