trial_id,domain,split,scenario_id,failure_mode,condition_order,condition_seed,policy_id,cohort_id,training_seed,policy_order,success,safety_event,protective_stop,limit_violation,contact_force_proxy_breach,catastrophic_event,intervention,completion_time_s,excluded,exclusion_reason,replacement_scenario_id,policy_control_started,incident_timestamp_ns,outcome_reviewer_blinded,scenario_hidden_from_training,trial_seed
real_0003_targeted_bc_104729,real,heldout,real_scenario_0003,compliance_edge,3,515151,targeted_bc_104729,targeted,104729,1,1,0,0,0,0,0,0,15.225168,0,,,1,,1,1,1731273499
real_0003_random_bc_130363,real,heldout,real_scenario_0003,compliance_edge,3,515151,random_bc_130363,random,130363,7,1,0,0,0,0,0,0,13.212925,0,,,1,,1,1,2747742525
real_0003_targeted_bc_130363,real,heldout,real_scenario_0003,compliance_edge,3,515151,targeted_bc_130363,targeted,130363,2,0,0,0,0,0,0,1,20.923030,0,,,1,,1,1,276029208
real_0003_random_bc_155921,real,heldout,real_scenario_0003,compliance_edge,3,515151,random_bc_155921,random,155921,6,0,0,0,0,0,0,0,24.790034,0,,,1,,1,1,3759926710
real_0003_targeted_bc_155921,real,heldout,real_scenario_0003,compliance_edge,3,515151,targeted_bc_155921,targeted,155921,3,0,0,0,0,0,0,0,27.132888,0,,,1,,1,1,1874693095
real_0004_baseline_bc_003,real,heldout,real_scenario_0004,compliance_edge,4,515151,baseline_bc_003,baseline,0,2,0,0,0,0,0,0,0,26.233206,0,,,1,,1,1,1185840601
real_0004_random_bc_104729,real,heldout,real_scenario_0004,compliance_edge,4,515151,random_bc_104729,random,104729,6,1,0,0,0,0,0,0,15.180694,0,,,1,,1,1,2789883456
real_0004_targeted_bc_104729,real,heldout,real_scenario_0004,compliance_edge,4,515151,targeted_bc_104729,targeted,104729,3,1,0,0,0,0,0,0,11.186711,0,,,1,,1,1,29610961
real_0004_random_bc_130363,real,heldout,real_scenario_0004,compliance_edge,4,515151,random_bc_130363,random,130363,5,0,0,0,0,0,0,0,27.844002,0,,,1,,1,1,594299551
real_0004_targeted_bc_130363,real,heldout,real_scenario_0004,compliance_edge,4,515151,targeted_bc_130363,targeted,130363,1,1,0,0,0,0,0,0,8.069912,0,,,1,,1,1,548030270
real_0004_random_bc_155921,real,heldout,real_scenario_0004,compliance_edge,4,515151,random_bc_155921,random,155921,4,1,0,0,0,0,0,0,8.206634,0,,,1,,1,1,993655813
real_0004_targeted_bc_155921,real,heldout,real_scenario_0004,compliance_edge,4,515151,targeted_bc_155921,targeted,155921,7,1,0,0,0,0,0,0,10.275554,0,,,1,,1,1,2425705566
real_0005_baseline_bc_003,real,heldout,real_scenario_0005,nominal,5,515151,baseline_bc_003,baseline,0,4,0,0,0,0,0,0,0,25.080192,0,,,1,,1,1,1439191299
real_0005_random_bc_104729,real,heldout,real_scenario_0005,nominal,5,515151,random_bc_104729,random,104729,3,1,0,0,0,0,0,0,16.053200,0,,,1,,1,1,2099970524
real_0005_targeted_bc_104729,real,heldout,real_scenario_0005,nominal,5,515151,targeted_bc_104729,targeted,104729,7,1,0,0,0,0,0,0,10.396885,0,,,1,,1,1,3619334657
real_0005_random_bc_130363,real,heldout,real_scenario_0005,nominal,5,515151,random_bc_130363,random,130363,5,1,0,0,0,0,0,0,15.645925,0,,,1,,1,1,1508172272
real_0005_targeted_bc_130363,real,heldout,real_scenario_0005,nominal,5,515151,targeted_bc_130363,targeted,130363,6,1,0,0,0,0,0,0,11.355319,0,,,1,,1,1,3906072101
real_0005_random_bc_155921,real,heldout,real_scenario_0005,nominal,5,515151,random_bc_155921,random,155921,2,1,0,0,0,0,0,0,9.901251,0,,,1,,1,1,3031540786
real_0005_targeted_bc_155921,real,heldout,real_scenario_0005,nominal,5,515151,targeted_bc_155921,targeted,155921,1,1,0,0,0,0,0,0,16.686622,0,,,1,,1,1,3216087964
real_0006_baseline_bc_003,real,heldout,real_scenario_0006,compliance_edge,6,515151,baseline_bc_003,baseline,0,5,1,0,0,0,0,0,0,17.354408,0,,,1,,1,1,3668565120
real_0006_random_bc_104729,real,heldout,real_scenario_0006,compliance_edge,6,515151,random_bc_104729,random,104729,6,1,0,0,0,0,0,0,10.285232,0,,,1,,1,1,3474979937
real_0006_targeted_bc_104729,real,heldout,real_scenario_0006,compliance_edge,6,515151,targeted_bc_104729,targeted,104729,3,0,0,0,0,0,0,0,24.570095,0,,,1,,1,1,3662015120
real_0006_random_bc_130363,real,heldout,real_scenario_0006,compliance_edge,6,515151,random_bc_130363,random,130363,1,0,0,0,0,0,0,0,26.007521,0,,,1,,1,1,185845206
real_0006_targeted_bc_130363,real,heldout,real_scenario_0006,compliance_edge,6,515151,targeted_bc_130363,targeted,130363,7,1,0,0,0,0,0,0,10.499421,0,,,1,,1,1,3564185180
real_0006_random_bc_155921,real,heldout,real_scenario_0006,compliance_edge,6,515151,random_bc_155921,random,155921,4,0,0,0,0,0,0,0,19.201173,0,,,1,,1,1,2707571738
real_0006_targeted_bc_155921,real,heldout,real_scenario_0006,compliance_edge,6,515151,targeted_bc_155921,targeted,155921,2,1,0,0,0,0,0,0,11.752533,0,,,1,,1,1,2001121309
real_0007_baseline_bc_003,real,heldout,real_scenario_0007,lateral_offset,7,515151,baseline_bc_003,baseline,0,4,0,0,0,0,0,0,0,19.092137,0,,,1,,1,1,4174410454
real_0007_random_bc_104729,real,heldout,real_scenario_0007,lateral_offset,7,515151,random_bc_104729,random,104729,2,1,0,0,0,0,0,0,11.152908,0,,,1,,1,1,2152625200
real_0007_targeted_bc_104729,real,heldout,real_scenario_0007,lateral_offset,7,515151,targeted_bc_104729,targeted,104729,7,0,0,0,0,0,0,0,19.034404,0,,,1,,1,1,2834027428
real_0007_random_bc_130363,real,heldout,real_scenario_0007,lateral_offset,7,515151,random_bc_130363,random,130363,5,1,0,0,0,0,0,0,12.729902,0,,,1,,1,1,1080760466
real_0007_targeted_bc_130363,real,heldout,real_scenario_0007,lateral_offset,7,515151,targeted_bc_130363,targeted,130363,1,1,0,0,0,0,0,0,17.563058,0,,,1,,1,1,2402622436
real_0007_random_bc_155921,real,heldout,real_scenario_0007,lateral_offset,7,515151,random_bc_155921,random,155921,3,0,0,0,0,0,0,0,20.167550,0,,,1,,1,1,3192314022
real_0007_targeted_bc_155921,real,heldout,real_scenario_0007,lateral_offset,7,515151,targeted_bc_155921,targeted,155921,6,1,0,0,0,0,0,0,10.391454,0,,,1,,1,1,3149945756
real_0008_baseline_bc_003,real,heldout,real_scenario_0008,high_friction,8,515151,baseline_bc_003,baseline,0,4,1,0,0,0,0,0,0,14.436425,0,,,1,,1,1,3301794783
real_0008_random_bc_104729,real,heldout,real_scenario_0008,high_friction,8,515151,random_bc_104729,random,104729,6,0,0,0,0,0,0,0,26.313200,0,,,1,,1,1,2478933568
real_0008_targeted_bc_104729,real,heldout,real_scenario_0008,high_friction,8,515151,targeted_bc_104729,targeted,104729,5,1,0,0,0,0,0,0,15.416666,0,,,1,,1,1,1931763893
real_0008_random_bc_130363,real,heldout,real_scenario_0008,high_friction,8,515151,random_bc_130363,random,130363,7,1,0,0,0,0,0,0,12.680882,0,,,1,,1,1,1405107724
real_0008_targeted_bc_130363,real,heldout,real_scenario_0008,high_friction,8,515151,targeted_bc_130363,targeted,130363,3,1,0,0,0,0,0,0,15.264199,0,,,1,,1,1,472886696
real_0008_random_bc_155921,real,heldout,real_scenario_0008,high_friction,8,515151,random_bc_155921,random,155921,1,0,0,0,0,0,0,0,28.043896,0,,,1,,1,1,669721117
real_0008_targeted_bc_155921,real,heldout,real_scenario_0008,high_friction,8,515151,targeted_bc_155921,targeted,155921,2,1,0,0,0,0,0,0,10.800649,0,,,1,,1,1,2158063692
real_0009_baseline_bc_003,real,heldout,real_scenario_0009,high_friction,9,515151,baseline_bc_003,baseline,0,7,1,0,0,0,0,0,0,11.941182,0,,,1,,1,1,135487535
real_0009_random_bc_104729,real,heldout,real_scenario_0009,high_friction,9,515151,random_bc_104729,random,104729,3,1,0,0,0,0,0,0,11.293841,0,,,1,,1,1,3892721961
real_0009_targeted_bc_104729,real,heldout,real_scenario_0009,high_friction,9,515151,targeted_bc_104729,targeted,104729,5,1,0,0,0,0,0,0,8.398759,0,,,1,,1,1,530281819
real_0009_random_bc_130363,real,heldout,real_scenario_0009,high_friction,9,515151,random_bc_130363,random,130363,2,1,0,0,0,0,0,0,13.463411,0,,,1,,1,1,37841132
real_0009_targeted_bc_130363,real,heldout,real_scenario_0009,high_friction,9,515151,targeted_bc_130363,targeted,130363,6,0,0,0,0,0,0,0,19.452510,0,,,1,,1,1,3361345868
real_0009_random_bc_155921,real,heldout,real_scenario_0009,high_friction,9,515151,random_bc_155921,random,155921,1,1,0,0,0,0,0,0,15.158506,0,,,1,,1,1,609309769
real_0009_targeted_bc_155921,real,heldout,real_scenario_0009,high_friction,9,515151,targeted_bc_155921,targeted,155921,4,1,0,0,0,0,0,0,12.942064,0,,,1,,1,1,2218203923
real_0010_baseline_bc_003,real,heldout,real_scenario_0010,nominal,10,515151,baseline_bc_003,baseline,0,6,0,0,0,0,0,0,1,24.521869,0,,,1,,1,1,2290408006
real_0010_random_bc_104729,real,heldout,real_scenario_0010,nominal,10,515151,random_bc_104729,random,104729,5,0,0,0,0,0,0,0,20.468182,0,,,1,,1,1,2271490886
real_0010_targeted_bc_104729,real,heldout,real_scenario_0010,nominal,10,515151,targeted_bc_104729,targeted,104729,2,1,0,0,0,0,0,0,12.681409,0,,,1,,1,1,1471953238
real_0010_random_bc_130363,real,heldout,real_scenario_0010,nominal,10,515151,random_bc_130363,random,130363,3,1,0,0,0,0,0,0,16.886612,0,,,1,,1,1,624610192
real_0010_targeted_bc_130363,real,heldout,real_scenario_0010,nominal,10,515151,targeted_bc_130363,targeted,130363,7,0,0,0,0,0,0,0,26.614465,0,,,1,,1,1,3028170049
real_0010_random_bc_155921,real,heldout,real_scenario_0010,nominal,10,515151,random_bc_155921,random,155921,1,1,0,0,0,0,0,0,13.661725,0,,,1,,1,1,703381395
real_0010_targeted_bc_155921,real,heldout,real_scenario_0010,nominal,10,515151,targeted_bc_155921,targeted,155921,4,1,0,0,0,0,0,0,13.012210,0,,,1,,1,1,675101950
real_0011_baseline_bc_003,real,heldout,real_scenario_0011,high_friction,11,515151,baseline_bc_003,baseline,0,2,1,0,0,0,0,0,0,15.768872,0,,,1,,1,1,4118498522
real_0011_random_bc_104729,real,heldout,real_scenario_0011,high_friction,11,515151,random_bc_104729,random,104729,4,0,0,0,0,0,0,0,21.071425,0,,,1,,1,1,557231412
real_0011_targeted_bc_104729,real,heldout,real_scenario_0011,high_friction,11,515151,targeted_bc_104729,targeted,104729,1,0,0,0,0,0,0,0,21.058660,0,,,1,,1,1,336639846
real_0011_random_bc_130363,real,heldout,real_scenario_0011,high_friction,11,515151,random_bc_130363,random,130363,6,1,0,0,0,0,0,0,9.716879,0,,,1,,1,1,1057642873
real_0011_targeted_bc_130363,real,heldout,real_scenario_0011,high_friction,11,515151,targeted_bc_130363,targeted,130363,3,1,0,0,0,0,0,0,14.616036,0,,,1,,1,1,4219361585
real_0011_random_bc_155921,real,heldout,real_scenario_0011,high_friction,11,515151,random_bc_155921,random,155921,7,0,0,0,0,0,0,0,19.268421,0,,,1,,1,1,3852848365
real_0011_targeted_bc_155921,real,heldout,real_scenario_0011,high_friction,11,515151,targeted_bc_155921,targeted,155921,5,1,0,0,0,0,0,0,9.900023,0,,,1,,1,1,900901880
real_0012_baseline_bc_003,real,heldout,real_scenario_0012,high_friction,12,515151,baseline_bc_003,baseline,0,3,0,0,0,0,0,0,0,22.795511,0,,,1,,1,1,2852242432
real_0012_random_bc_104729,real,heldout,real_scenario_0012,high_friction,12,515151,random_bc_104729,random,104729,2,0,0,0,0,0,0,0,22.455624,0,,,1,,1,1,2756733616
real_0012_targeted_bc_104729,real,heldout,real_scenario_0012,high_friction,12,515151,targeted_bc_104729,targeted,104729,7,1,0,0,0,0,0,0,8.853333,0,,,1,,1,1,1969577336
real_0012_random_bc_130363,real,heldout,real_scenario_0012,high_friction,12,515151,random_bc_130363,random,130363,6,0,0,0,0,0,0,0,22.546273,0,,,1,,1,1,270652016
real_0012_targeted_bc_130363,real,heldout,real_scenario_0012,high_friction,12,515151,targeted_bc_130363,targeted,130363,1,0,0,0,0,0,0,0,26.570495,0,,,1,,1,1,3307880408
real_0012_random_bc_155921,real,heldout,real_scenario_0012,high_friction,12,515151,random_bc_155921,random,155921,4,1,0,0,0,0,0,0,15.748699,0,,,1,,1,1,487280537
real_0012_targeted_bc_155921,real,heldout,real_scenario_0012,high_friction,12,515151,targeted_bc_155921,targeted,155921,5,1,0,0,0,0,0,0,9.379757,0,,,1,,1,1,3491156026
real_0013_baseline_bc_003,real,heldout,real_scenario_0013,compliance_edge,13,515151,baseline_bc_003,baseline,0,5,0,0,0,0,0,0,0,26.185473,0,,,1,,1,1,194244916
real_0013_random_bc_104729,real,heldout,real_scenario_0013,compliance_edge,13,515151,random_bc_104729,random,104729,3,1,0,0,0,0,0,0,14.770737,0,,,1,,1,1,3434365364
real_0013_targeted_bc_104729,real,heldout,real_scenario_0013,compliance_edge,13,515151,targeted_bc_104729,targeted,104729,6,0,0,0,0,0,0,0,26.262752,0,,,1,,1,1,1884193451
real_0013_random_bc_130363,real,heldout,real_scenario_0013,compliance_edge,13,515151,random_bc_130363,random,130363,7,1,0,0,0,0,0,0,11.108178,0,,,1,,1,1,2706784651
real_0013_targeted_bc_130363,real,heldout,real_scenario_0013,compliance_edge,13,515151,targeted_bc_130363,targeted,130363,4,0,0,0,0,0,0,1,28.395742,0,,,1,,1,1,3097746853
real_0013_random_bc_155921,real,heldout,real_scenario_0013,compliance_edge,13,515151,random_bc_155921,random,155921,1,0,0,0,0,0,0,0,22.734342,0,,,1,,1,1,2861491819
real_0013_targeted_bc_155921,real,heldout,real_scenario_0013,compliance_edge,13,515151,targeted_bc_155921,targeted,155921,2,1,0,0,0,0,0,0,16.015099,0,,,1,,1,1,3251120583
real_0014_baseline_bc_003,real,heldout,real_scenario_0014,nominal,14,515151,baseline_bc_003,baseline,0,6,0,0,0,0,0,0,1,22.931109,0,,,1,,1,1,4017899162
real_0014_random_bc_104729,real,heldout,real_scenario_0014,nominal,14,515151,random_bc_104729,random,104729,3,1,0,0,0,0,0,0,13.828875,0,,,1,,1,1,3690885168
real_0014_targeted_bc_104729,real,heldout,real_scenario_0014,nominal,14,515151,targeted_bc_104729,targeted,104729,5,0,0,0,0,0,0,0,21.066409,0,,,1,,1,1,3239777257
real_0014_random_bc_130363,real,heldout,real_scenario_0014,nominal,14,515151,random_bc_130363,random,130363,4,1,0,0,0,0,0,0,8.871419,0,,,1,,1,1,4210736475
real_0014_targeted_bc_130363,real,heldout,real_scenario_0014,nominal,14,515151,targeted_bc_130363,targeted,130363,7,0,0,0,0,0,0,0,27.425183,0,,,1,,1,1,2775359476
real_0014_random_bc_155921,real,heldout,real_scenario_0014,nominal,14,515151,random_bc_155921,random,155921,1,1,0,0,0,0,0,0,10.779742,0,,,1,,1,1,1254252076
real_0014_targeted_bc_155921,real,heldout,real_scenario_0014,nominal,14,515151,targeted_bc_155921,targeted,155921,2,1,0,0,0,0,0,0,13.842707,0,,,1,,1,1,1732609137
real_0015_baseline_bc_003,real,heldout,real_scenario_0015,high_friction,15,515151,baseline_bc_003,baseline,0,6,1,0,0,0,0,0,0,13.457418,0,,,1,,1,1,2564035266
real_0015_random_bc_104729,real,heldout,real_scenario_0015,high_friction,15,515151,random_bc_104729,random,104729,5,1,0,0,0,0,0,0,11.908980,0,,,1,,1,1,422640592
real_0015_targeted_bc_104729,real,heldout,real_scenario_0015,high_friction,15,515151,targeted_bc_104729,targeted,104729,4,0,0,0,0,0,0,0,27.063386,0,,,1,,1,1,1209996165
real_0015_random_bc_130363,real,heldout,real_scenario_0015,high_friction,15,515151,random_bc_130363,random,130363,2,1,0,0,0,0,0,0,15.218388,0,,,1,,1,1,550823817
real_0015_targeted_bc_130363,real,heldout,real_scenario_0015,high_friction,15,515151,targeted_bc_130363,targeted,130363,1,1,0,0,0,0,0,0,11.701635,0,,,1,,1,1,2931678051
real_0015_random_bc_155921,real,heldout,real_scenario_0015,high_friction,15,515151,random_bc_155921,random,155921,7,1,0,0,0,0,0,0,17.169596,0,,,1,,1,1,3884831557
real_0015_targeted_bc_155921,real,heldout,real_scenario_0015,high_friction,15,515151,targeted_bc_155921,targeted,155921,3,1,0,0,0,0,0,0,12.132234,0,,,1,,1,1,3637026237
real_0016_baseline_bc_003,real,heldout,real_scenario_0016,high_friction,16,515151,baseline_bc_003,baseline,0,7,0,0,0,0,0,0,0,22.882368,0,,,1,,1,1,2416969642
real_0016_random_bc_104729,real,heldout,real_scenario_0016,high_friction,16,515151,random_bc_104729,random,104729,5,1,0,0,0,0,0,0,8.012189,0,,,1,,1,1,3459474176
real_0016_targeted_bc_104729,real,heldout,real_scenario_0016,high_friction,16,515151,targeted_bc_104729,targeted,104729,1,1,0,0,0,0,0,0,10.611059,0,,,1,,1,1,4229694778
real_0016_random_bc_130363,real,heldout,real_scenario_0016,high_friction,16,515151,random_bc_130363,random,130363,2,0,0,0,0,0,0,0,23.028562,0,,,1,,1,1,1229976962
real_0016_targeted_bc_130363,real,heldout,real_scenario_0016,high_friction,16,515151,targeted_bc_130363,targeted,130363,6,1,0,0,0,0,0,0,12.508751,0,,,1,,1,1,3574805696
real_0016_random_bc_155921,real,heldout,real_scenario_0016,high_friction,16,515151,random_bc_155921,random,155921,4,0,0,0,0,0,0,0,23.680780,0,,,1,,1,1,3694284516
real_0016_targeted_bc_155921,real,heldout,real_scenario_0016,high_friction,16,515151,targeted_bc_155921,targeted,155921,3,1,0,0,0,0,0,0,16.804763,0,,,1,,1,1,4276565635
real_0017_baseline_bc_003,real,heldout,real_scenario_0017,nominal,17,515151,baseline_bc_003,baseline,0,1,0,0,0,0,0,0,1,26.785928,0,,,1,,1,1,3757043968
real_0017_random_bc_104729,real,heldout,real_scenario_0017,nominal,17,515151,random_bc_104729,random,104729,4,0,0,0,0,0,0,0,26.561262,0,,,1,,1,1,2565979399
real_0017_targeted_bc_104729,real,heldout,real_scenario_0017,nominal,17,515151,targeted_bc_104729,targeted,104729,6,1,0,0,0,0,0,0,11.082534,0,,,1,,1,1,784805286
real_0017_random_bc_130363,real,heldout,real_scenario_0017,nominal,17,515151,random_bc_130363,random,130363,2,1,0,0,0,0,0,0,8.751114,0,,,1,,1,1,3561641926
real_0017_targeted_bc_130363,real,heldout,real_scenario_0017,nominal,17,515151,targeted_bc_130363,targeted,130363,7,1,0,0,0,0,0,0,10.999087,0,,,1,,1,1,2657009269
real_0017_random_bc_155921,real,heldout,real_scenario_0017,nominal,17,515151,random_bc_155921,random,155921,3,1,0,0,0,0,0,0,8.501872,0,,,1,,1,1,3465982178
real_0017_targeted_bc_155921,real,heldout,real_scenario_0017,nominal,17,515151,targeted_bc_155921,targeted,155921,5,0,0,0,0,0,0,0,25.324389,0,,,1,,1,1,735359982
real_0018_baseline_bc_003,real,heldout,real_scenario_0018,nominal,18,515151,baseline_bc_003,baseline,0,7,0,0,0,0,0,0,0,23.530915,0,,,1,,1,1,3697441428
real_0018_random_bc_104729,real,heldout,real_scenario_0018,nominal,18,515151,random_bc_104729,random,104729,1,1,0,0,0,0,0,0,13.754941,0,,,1,,1,1,3320235476
real_0018_targeted_bc_104729,real,heldout,real_scenario_0018,nominal,18,515151,targeted_bc_104729,targeted,104729,2,1,0,0,0,0,0,0,8.432379,0,,,1,,1,1,990946167
real_0018_random_bc_130363,real,heldout,real_scenario_0018,nominal,18,515151,random_bc_130363,random,130363,3,1,0,0,0,0,0,0,11.982226,0,,,1,,1,1,2110636511
real_0018_targeted_bc_130363,real,heldout,real_scenario_0018,nominal,18,515151,targeted_bc_130363,targeted,130363,6,1,0,0,0,0,0,0,17.828913,0,,,1,,1,1,381723339
real_0018_random_bc_155921,real,heldout,real_scenario_0018,nominal,18,515151,random_bc_155921,random,155921,5,1,0,0,0,0,0,0,9.083490,0,,,1,,1,1,3258833661
real_0018_targeted_bc_155921,real,heldout,real_scenario_0018,nominal,18,515151,targeted_bc_155921,targeted,155921,4,1,0,0,0,0,0,0,14.873915,0,,,1,,1,1,1964368775
real_0019_baseline_bc_003,real,heldout,real_scenario_0019,compliance_edge,19,515151,baseline_bc_003,baseline,0,1,1,0,0,0,0,0,0,8.608198,0,,,1,,1,1,2345784160
real_0019_random_bc_104729,real,heldout,real_scenario_0019,compliance_edge,19,515151,random_bc_104729,random,104729,5,0,0,0,0,0,0,0,27.978356,0,,,1,,1,1,2941331742
real_0019_targeted_bc_104729,real,heldout,real_scenario_0019,compliance_edge,19,515151,targeted_bc_104729,targeted,104729,2,1,0,0,0,0,0,0,14.703906,0,,,1,,1,1,2547558418
real_0019_random_bc_130363,real,heldout,real_scenario_0019,compliance_edge,19,515151,random_bc_130363,random,130363,6,0,0,0,0,0,0,0,19.156695,0,,,1,,1,1,4148218150
real_0019_targeted_bc_130363,real,heldout,real_scenario_0019,compliance_edge,19,515151,targeted_bc_130363,targeted,130363,7,0,0,0,0,0,0,0,28.064003,0,,,1,,1,1,3722482077
real_0019_random_bc_155921,real,heldout,real_scenario_0019,compliance_edge,19,515151,random_bc_155921,random,155921,4,1,0,0,0,0,0,0,12.711257,0,,,1,,1,1,2896427873
real_0019_targeted_bc_155921,real,heldout,real_scenario_0019,compliance_edge,19,515151,targeted_bc_155921,targeted,155921,3,1,0,0,0,0,0,0,10.198726,0,,,1,,1,1,3387591193
real_0020_baseline_bc_003,real,heldout,real_scenario_0020,compliance_edge,20,515151,baseline_bc_003,baseline,0,5,1,0,0,0,0,0,0,16.270871,0,,,1,,1,1,874183141
real_0020_random_bc_104729,real,heldout,real_scenario_0020,compliance_edge,20,515151,random_bc_104729,random,104729,6,1,0,0,0,0,0,0,13.126356,0,,,1,,1,1,2278649968
real_0020_targeted_bc_104729,real,heldout,real_scenario_0020,compliance_edge,20,515151,targeted_bc_104729,targeted,104729,3,1,0,0,0,0,0,0,15.922634,0,,,1,,1,1,2548506408
real_0020_random_bc_130363,real,heldout,real_scenario_0020,compliance_edge,20,515151,random_bc_130363,random,130363,4,0,0,0,0,0,0,0,27.631354,0,,,1,,1,1,2453743145
real_0020_targeted_bc_130363,real,heldout,real_scenario_0020,compliance_edge,20,515151,targeted_bc_130363,targeted,130363,1,0,0,0,0,0,0,0,25.131614,0,,,1,,1,1,839948783
real_0020_random_bc_155921,real,heldout,real_scenario_0020,compliance_edge,20,515151,random_bc_155921,random,155921,2,0,0,0,0,0,0,0,28.905649,0,,,1,,1,1,2698308848
real_0020_targeted_bc_155921,real,heldout,real_scenario_0020,compliance_edge,20,515151,targeted_bc_155921,targeted,155921,7,0,0,0,0,0,0,0,21.203139,0,,,1,,1,1,37214055
real_0021_baseline_bc_003,real,heldout,real_scenario_0021,high_friction,21,515151,baseline_bc_003,baseline,0,3,1,0,0,0,0,0,0,14.388465,0,,,1,,1,1,4233957911
real_0021_random_bc_104729,real,heldout,real_scenario_0021,high_friction,21,515151,random_bc_104729,random,104729,5,1,0,0,0,0,0,0,16.213632,0,,,1,,1,1,577675820
real_0021_targeted_bc_104729,real,heldout,real_scenario_0021,high_friction,21,515151,targeted_bc_104729,targeted,104729,6,1,0,0,0,0,0,0,8.593435,0,,,1,,1,1,2810532789
real_0021_random_bc_130363,real,heldout,real_scenario_0021,high_friction,21,515151,random_bc_130363,random,130363,4,0,0,0,0,0,0,1,22.137908,0,,,1,,1,1,4273301281
real_0021_targeted_bc_130363,real,heldout,real_scenario_0021,high_friction,21,515151,targeted_bc_130363,targeted,130363,2,1,0,0,0,0,0,0,9.280921,0,,,1,,1,1,1133063214
real_0021_random_bc_155921,real,heldout,real_scenario_0021,high_friction,21,515151,random_bc_155921,random,155921,7,1,0,0,0,0,0,0,8.517501,0,,,1,,1,1,3902319059
real_0021_targeted_bc_155921,real,heldout,real_scenario_0021,high_friction,21,515151,targeted_bc_155921,targeted,155921,1,1,0,0,0,0,0,0,12.439242,0,,,1,,1,1,1512645782
real_0022_baseline_bc_003,real,heldout,real_scenario_0022,lateral_offset,22,515151,baseline_bc_003,baseline,0,6,0,0,0,0,0,0,0,26.792798,0,,,1,,1,1,3612477735
real_0022_random_bc_104729,real,heldout,real_scenario_0022,lateral_offset,22,515151,random_bc_104729,random,104729,1,1,0,0,0,0,0,0,13.690321,0,,,1,,1,1,1464006465
